,app,price,rating
5506,Backgammon Free,0.0,4.429859161376953
7169,Vegas Pool Sharks,2.29,4.0787878036499015
30585,Speed Dial Old School,0.73,4.253424644470215
48285,Enjoy Sudoku,2.39,4.829675197601318
62392,Kids Piano,1.92,4.445714473724365
92810,Napster,0.0,3.7854950428009033
104989,Daily Bible,0.0,4.758447170257568
184493,Bubble Defense 2,2.17,4.13294792175293
207682,Car Locator,2.99,4.5474209785461435
272873,TerraTime,2.29,4.477427959442139
273857,Backgammon Free,0.0,3.5750000476837163
295922,Scan2PDF Mobile 2.0,4.51,3.713467121124268
359776,Backgammon Free,0.0,3.485875606536865
366312,Overkill: Space Shooter,0.0,3.8185219764709473
372769,Par 72 Golf,3.99,3.2990195751190186
